experiment_accession,file_accession,target,control_accession,file_format,paired_end,paired_with,assay_term_name,run_type,treatment_term_name,biological_replicate_number,technical_replicate_number,href,md5sum,biosample_type,biosample_term_name,assembly,dataset_type,lab,date_released,status
ENCSR000ANA,ENCFF000AXA,H3K4me1,ENCSR000AMI,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AXA/@@download/ENCFF000AXA.bam,312d1cb89623c397501524d0b645eaa3,stem cell,H1-hESC,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANA,ENCFF000AXB,H3K4me1,ENCSR000AMI,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AXB/@@download/ENCFF000AXB.bam,f4cfb183437c711647d53205cf2e6353,stem cell,H1-hESC,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANI,ENCFF000BLP,H3K4me1,ENCSR000ANN,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BLP/@@download/ENCFF000BLP.bam,747be1f83f7aa27782834a7b83e71f3f,primary cell,skeletal muscle myoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANI,ENCFF000BLQ,H3K4me1,ENCSR000ANN,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BLQ/@@download/ENCFF000BLQ.bam,249ee4b91bfb7145c4adb3f6953d8921,primary cell,skeletal muscle myoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANX,ENCFF000BOY,H3K4me1,ENCSR000ANT,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BOY/@@download/ENCFF000BOY.bam,fac60a7058d21937fc33d051e95af615,in vitro differentiated cells,myotube,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANX,ENCFF000BOZ,H3K4me1,ENCSR000ANT,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BOZ/@@download/ENCFF000BOZ.bam,eb392454c764ef54b874d7f298c9f763,in vitro differentiated cells,myotube,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOT,ENCFF000CHO,H3K4me1,ENCSR000AOP,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CHO/@@download/ENCFF000CHO.bam,a233923154d7f870523ca1251ac94607,primary cell,astrocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOT,ENCFF000CHQ,H3K4me1,ENCSR000AOP,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CHQ/@@download/ENCFF000CHQ.bam,4e2e710c3db29ec7b46e57067fbe3bf4,primary cell,astrocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APJ,ENCFF000CVR,H3K4me1,ENCSR000APU,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CVR/@@download/ENCFF000CVR.bam,9a6a45f6d931cefa3241c40811224f63,primary cell,osteoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APJ,ENCFF000CVV,H3K4me1,ENCSR000APU,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CVV/@@download/ENCFF000CVV.bam,3444110b1fd84fcd0add6fad56d16adb,primary cell,osteoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APV,ENCFF000BEM,H3K4me1,ENCSR000AME,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BEM/@@download/ENCFF000BEM.bam,bdeabafdedd09747e8104ec103631c65,immortalized cell line,HepG2,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000APV,ENCFF000BEO,H3K4me1,ENCSR000AME,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BEO/@@download/ENCFF000BEO.bam,17847371fcf423c9473d5ea4b54c51f9,immortalized cell line,HepG2,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000APW,ENCFF000BBA,H3K4me1,ENCSR000AOB,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BBA/@@download/ENCFF000BBA.bam,2cbf5aba58a3a25621e88c0bbb3e951c,immortalized cell line,HeLa-S3,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000APW,ENCFF000BBB,H3K4me1,ENCSR000AOB,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BBB/@@download/ENCFF000BBB.bam,5047977b1b2a4817d2032596b31f25fc,immortalized cell line,HeLa-S3,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000AQY,ENCFF000AOT,H3K4me1,ENCSR000ASA,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AOT/@@download/ENCFF000AOT.bam,87e1fd1f90b1ddf3ab30915670128255,immortalized cell line,T-cell acute lymphoblastic leukemia,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000AQY,ENCFF000AOV,H3K4me1,ENCSR000ASA,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AOV/@@download/ENCFF000AOV.bam,26cc7b42af57534b7cd276f40e6fa1a7,immortalized cell line,T-cell acute lymphoblastic leukemia,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000ARV,ENCFF000CJK,H3K4me1,ENCSR000APT,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CJK/@@download/ENCFF000CJK.bam,2015a8c1237fb600e994dd44a5f7e424,primary cell,fibroblast of dermis,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000ARV,ENCFF000CJM,H3K4me1,ENCSR000APT,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CJM/@@download/ENCFF000CJM.bam,21ea7fafe88ddc42a379c51e80773fa3,primary cell,fibroblast of dermis,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000ASM,ENCFF000CDB,H3K4me1,ENCSR000AUU,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CDB/@@download/ENCFF000CDB.bam,4ed5dc77b7468d6d1aa7f930e2fd0d30,primary cell,CD14-positive monocyte,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000ASM,ENCFF000CDC,H3K4me1,ENCSR000AUU,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CDC/@@download/ENCFF000CDC.bam,1bf64d4f9f5cea03ad88d3d2e57a6a6b,primary cell,CD14-positive monocyte,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AUM,ENCFF000AIM,H3K4me1,ENCSR000ASS,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AIM/@@download/ENCFF000AIM.bam,15de4377a44629d4ee8ee478bb56e88e,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AUM,ENCFF000AIN,H3K4me1,ENCSR000ASS,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AIN/@@download/ENCFF000AIN.bam,cf6f49263a26c9c780c82263124ddfb0,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AVH,ENCFF000AIE,H3K4me1,ENCSR000ASR,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AIE/@@download/ENCFF000AIE.bam,5afd9e8e7eaee743eeee7f0cb981a4bc,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AVH,ENCFF000AIG,H3K4me1,ENCSR000ASR,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AIG/@@download/ENCFF000AIG.bam,b929f95d7654c2a575377a9643792d5d,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000EUS,ENCFF000VCF,H3K4me1,ENCSR000EUX,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VCF/@@download/ENCFF000VCF.bam,d6f694c141a5d705079c40c0086a86f7,immortalized cell line,HCT116,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EUS,ENCFF000VCG,H3K4me1,ENCSR000EUX,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VCG/@@download/ENCFF000VCG.bam,de172c22aec0847eab4532e14d6c81e1,immortalized cell line,HCT116,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EWC,ENCFF000VDH,H3K4me1,ENCSR000EWK,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VDH/@@download/ENCFF000VDH.bam,e8126ff5c127da8f9065241471da1d5c,immortalized cell line,K562,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EWC,ENCFF000VDJ,H3K4me1,ENCSR000EWK,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VDJ/@@download/ENCFF000VDJ.bam,d8334949827e49973840d604ff96b54f,immortalized cell line,K562,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EXA,ENCFF000VHO,H3K4me1,ENCSR000EXF,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VHO/@@download/ENCFF000VHO.bam,b61ecbef1c9f83fed1b0a04da429cf82,immortalized cell line,NT2/D1,[hg19],experiment,"Peggy Farnham, USC",2011-05-19,released
ENCSR000EXA,ENCFF000VHP,H3K4me1,ENCSR000EXF,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VHP/@@download/ENCFF000VHP.bam,c1a99d1a8df596a1e367c4dd8fc8d744,immortalized cell line,NT2/D1,[hg19],experiment,"Peggy Farnham, USC",2011-05-19,released
ENCSR000EXJ,ENCFF000VIN,H3K4me1,ENCSR000EXM,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VIN/@@download/ENCFF000VIN.bam,926726b5aa567dd91e0964d6ecd06220,immortalized cell line,Panc1,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EXJ,ENCFF000VIO,H3K4me1,ENCSR000EXM,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VIO/@@download/ENCFF000VIO.bam,cd60309d03896134b96edb8b143dbb72,immortalized cell line,Panc1,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EXV,ENCFF000VJX,H3K4me1,ENCSR000EXS,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VJX/@@download/ENCFF000VJX.bam,bd53a1c8a3dee19acda9dd4d8010411a,primary cell,mononuclear cell,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EXV,ENCFF000VJY,H3K4me1,ENCSR000EXS,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VJY/@@download/ENCFF000VJY.bam,c3ce38178c2ae7a759e49e0021c02875,primary cell,mononuclear cell,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000AKC,ENCFF000ASG,H3K27ac,ENCSR000AKJ,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000ASG/@@download/ENCFF000ASG.bam,aeb9ded9b366bc49038af4d450581099,immortalized cell line,GM12878,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKC,ENCFF000ASI,H3K27ac,ENCSR000AKJ,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000ASI/@@download/ENCFF000ASI.bam,89ce74342e28239b732aa7639044509b,immortalized cell line,GM12878,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKP,ENCFF000BWX,H3K27ac,ENCSR000AKY,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BWX/@@download/ENCFF000BWX.bam,6f13ea930320f9a249e2c39fd9e45b40,immortalized cell line,K562,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKP,ENCFF000BWZ,H3K27ac,ENCSR000AKY,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BWZ/@@download/ENCFF000BWZ.bam,13b1cd435e0f1719646d4311d036afbb,immortalized cell line,K562,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALB,ENCFF000BRQ,H3K27ac,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BRQ/@@download/ENCFF000BRQ.bam,f6f63ad2c8cadab849fe2d2344a509a3,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALB,ENCFF000BRR,H3K27ac,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,3,1,/files/ENCFF000BRR/@@download/ENCFF000BRR.bam,86d4189ac211a3e7b747e8e887a03e56,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALB,ENCFF000BRS,H3K27ac,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BRS/@@download/ENCFF000BRS.bam,8d276011141f6eb9716edd163514801f,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALK,ENCFF000CMZ,H3K27ac,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CMZ/@@download/ENCFF000CMZ.bam,38dfb5621c581eadf845668ee2513ae8,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALK,ENCFF000CNA,H3K27ac,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CNA/@@download/ENCFF000CNA.bam,6bb5cfdf0bda3643a38278b8bb3b37d7,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALK,ENCFF000CNC,H3K27ac,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,3,1,/files/ENCFF000CNC/@@download/ENCFF000CNC.bam,0941e2af2ccbb95f25f86ff3c3b99616,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALW,ENCFF000BHY,H3K27ac,ENCSR000AMN,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BHY/@@download/ENCFF000BHY.bam,4a0fdb69d2bc213d6535615d4fbc061b,primary cell,mammary epithelial cell,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALW,ENCFF000BHZ,H3K27ac,ENCSR000AMN,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BHZ/@@download/ENCFF000BHZ.bam,ccee651a5c6ef89d24f5da047401f64b,primary cell,mammary epithelial cell,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMO,ENCFF000BEZ,H3K27ac,ENCSR000AME,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BEZ/@@download/ENCFF000BEZ.bam,d30bd5ba725ca789ae4b1b86d58c3373,immortalized cell line,HepG2,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMO,ENCFF000BFB,H3K27ac,ENCSR000AME,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BFB/@@download/ENCFF000BFB.bam,3870747e4834285e85ae02e9fd7ff1e6,immortalized cell line,HepG2,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMR,ENCFF000CRJ,H3K27ac,ENCSR000AMZ,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CRJ/@@download/ENCFF000CRJ.bam,e77126efeb04b18f1f40e66cb9a3b9b9,primary cell,fibroblast of lung,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMR,ENCFF000CRK,H3K27ac,ENCSR000AMZ,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CRK/@@download/ENCFF000CRK.bam,ae4157fb722b6ea5c7a308367528f6b1,primary cell,fibroblast of lung,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANF,ENCFF000BKV,H3K27ac,ENCSR000ANN,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BKV/@@download/ENCFF000BKV.bam,0aed206ed6671f155faf2fa11be00588,primary cell,skeletal muscle myoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANF,ENCFF000BKW,H3K27ac,ENCSR000ANN,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BKW/@@download/ENCFF000BKW.bam,47ccf871cc66993e914e488281eb4ada,primary cell,skeletal muscle myoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANP,ENCFF000AWF,H3K27ac,ENCSR000AMI,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AWF/@@download/ENCFF000AWF.bam,5d3aec9ad329b40eeaf5f8215a8f61cf,stem cell,H1-hESC,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANP,ENCFF000AWG,H3K27ac,ENCSR000AMI,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AWG/@@download/ENCFF000AWG.bam,69ab345f5eecb3c3c0eff9be4b03347c,stem cell,H1-hESC,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANV,ENCFF000BOI,H3K27ac,ENCSR000ANT,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BOI/@@download/ENCFF000BOI.bam,d02ac087af813fe7dde7730ceae832c9,in vitro differentiated cells,myotube,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ANV,ENCFF000BOJ,H3K27ac,ENCSR000ANT,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BOJ/@@download/ENCFF000BOJ.bam,830d30669fdcac5afbed04054dd81b24,in vitro differentiated cells,myotube,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOC,ENCFF000BBM,H3K27ac,ENCSR000AOB,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BBM/@@download/ENCFF000BBM.bam,bdd50d9e77fbfadb6de88e8aadc249ac,immortalized cell line,HeLa-S3,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOC,ENCFF000BBN,H3K27ac,ENCSR000AOB,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BBN/@@download/ENCFF000BBN.bam,d236817fb6cc3d0ad7f43e0110bd5c72,immortalized cell line,HeLa-S3,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOQ,ENCFF000CGX,H3K27ac,ENCSR000AOP,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CGX/@@download/ENCFF000CGX.bam,fa595d17d01f4de8e3bd39ea1aae457b,primary cell,astrocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AOQ,ENCFF000CGZ,H3K27ac,ENCSR000AOP,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CGZ/@@download/ENCFF000CGZ.bam,d990b579829d1d01ce432a80f1f6898a,primary cell,astrocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APH,ENCFF000CVH,H3K27ac,ENCSR000APU,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CVH/@@download/ENCFF000CVH.bam,17ca3b217bb82ea5f41895b728931aa7,primary cell,osteoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APH,ENCFF000CVJ,H3K27ac,ENCSR000APU,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CVJ/@@download/ENCFF000CVJ.bam,1e94d850601185b2a75ddb79472148e3,primary cell,osteoblast,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APN,ENCFF000CJW,H3K27ac,ENCSR000APT,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CJW/@@download/ENCFF000CJW.bam,413cff746455ea6bc327db15cba2529f,primary cell,fibroblast of dermis,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000APN,ENCFF000CKA,H3K27ac,ENCSR000APT,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CKA/@@download/ENCFF000CKA.bam,a836d3a9ec23ab54cb6e1e4e1333277e,primary cell,fibroblast of dermis,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AQW,ENCFF000APY,H3K27ac,ENCSR000ASA,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000APY/@@download/ENCFF000APY.bam,ea42b206ecc0f991be6323f8ea91a205,immortalized cell line,T-cell acute lymphoblastic leukemia,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000AQW,ENCFF000APZ,H3K27ac,ENCSR000ASA,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000APZ/@@download/ENCFF000APZ.bam,d349f3d2409740b2dffa8cd75f2aa96e,immortalized cell line,T-cell acute lymphoblastic leukemia,[hg19],experiment,"Bradley Bernstein, Broad",2012-03-06,released
ENCSR000ASJ,ENCFF000CEF,H3K27ac,ENCSR000AUU,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CEF/@@download/ENCFF000CEF.bam,6da3553a756f727a197e92738b057883,primary cell,CD14-positive monocyte,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000ASJ,ENCFF000CEG,H3K27ac,ENCSR000AUU,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CEG/@@download/ENCFF000CEG.bam,519f380df8351d98fa2e4ca0d4b4ee3a,primary cell,CD14-positive monocyte,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AUI,ENCFF000AKF,H3K27ac,ENCSR000ASS,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AKF/@@download/ENCFF000AKF.bam,fb2c2a70cceaff03913c380c115ecd77,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AUI,ENCFF000AKI,H3K27ac,ENCSR000ASS,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AKI/@@download/ENCFF000AKI.bam,4e3426d79c9d5053bca13771f6d70d6a,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AUP,ENCFF000ANG,H3K27ac,ENCSR000AUW,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000ANG/@@download/ENCFF000ANG.bam,7cb594ffa61a1ee2a806cac5ebe5df3e,primary cell,B cell,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
